UniProt ID,Gene,Protein Name,Panel
P28845,HSD11B1,11-beta-hydroxysteroid dehydrogenase 1,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response"
Q8TAD2,IL17D,Interleukin-17D,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II"
Q13291,SLAMF1,Signaling lymphocytic activation molecule,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation"
Q01344,IL5RA,Interleukin-5 receptor subunit alpha,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Neurology"
P24001,IL32,Interleukin-32,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Neuro Exploratory"
Q8IU57,IFNLR1,Interferon lambda receptor 1,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response"
Q14005,IL16,Pro-interleukin-16,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II"
Q8IU54,IFNL1,Interferon lambda-1,"Explore HT assay library, Olink Explore Neurology, Flex assay library, Olink Target 96 Neuro Exploratory"
P10747,CD28,T-cell-specific surface glycoprotein CD28,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Immune Response, Olink Target 96 Immuno-Oncology"
P06731,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Oncology II"
P20783,NTF3,Neurotrophin-3,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation"
Q9UQV4,LAMP3,Lysosome-associated membrane glycoprotein 3,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response, Olink Target 96 Immuno-Oncology"
Q06830,PRDX1,Peroxiredoxin-1,"Explore HT assay library, Olink Explore Neurology, Flex assay library, Olink Target 96 Immune Response"
P05412,JUN,Transcription factor Jun,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cell Regulation, Olink Target 96 Immune Response"
P01588,EPO,Erythropoietin,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Organ Damage"
Q9GZT9,EGLN1,Egl nine homolog 1,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response"
Q9UK05,GDF2,Growth/differentiation factor 2,"Explore HT assay library, Olink Explore Cardiometabolic, Flex assay library, Olink Target 96 Cardiovascular II"
P21583,KITLG,Kit ligand,"Explore HT assay library, Olink Explore Cardiometabolic, Flex assay library, Olink Target 96 Cardiovascular II, Olink Target 96 Inflammation, Olink Target 96 Oncology II"
P42830,CXCL5,C-X-C motif chemokine 5,"Explore HT assay library, Olink Explore Cardiometabolic, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation"
Q9UBU3,GHRL,Appetite-regulating hormone,"Explore HT assay library, Olink Explore Cardiometabolic, Flex assay library, Olink Target 96 Metabolism"
P40225,THPO,Thrombopoietin,"Explore HT assay library, Olink Explore Cardiometabolic, Flex assay library, Olink Target 96 Cardiovascular II"
P30203,CD6,T-cell differentiation antigen CD6,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation"
P48023,FASLG,Tumor necrosis factor ligand superfamily member 6,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Oncology II"
P12544,GZMA,Granzyme A,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Neurology"
P10144,GZMB,Granzyme B,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Oncology II"
O43557,TNFSF14,Tumor necrosis factor ligand superfamily member 14,"Explore HT assay library, Olink Explore Neurology, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation"
Q15389,ANGPT1,Angiopoietin-1,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology"
Q9Y6K9,IKBKG,NF-kappa-B essential modulator,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II"
Q9NYY1,IL20,Interleukin-20,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation"
Q14790,CASP8,Caspase-8,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation"
P05113,IL5,Interleukin-5,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation"
P00813,ADA,Adenosine deaminase,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation"
P39905,GDNF,Glial cell line-derived neurotrophic factor,"Explore HT assay library, Olink Explore Neurology, Flex assay library, Olink Target 96 Inflammation, Olink Target 96 Neurology"
P28325,CST5,Cystatin-D,"Explore HT assay library, Olink Explore Neurology, Flex assay library, Olink Target 96 Inflammation"
Q13478,IL18R1,Interleukin-18 receptor 1,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation"
O14788,TNFSF11,Tumor necrosis factor ligand superfamily member 11,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Inflammation"
P01275,GCG,Pro-glucagon,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Cell Regulation"
P16455,MGMT,Methylated-DNA--protein-cysteine methyltransferase,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response"
P35968,KDR,Vascular endothelial growth factor receptor 2,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Oncology II"
P09038,FGF2,Fibroblast growth factor 2,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response, Olink Target 96 Immuno-Oncology"
P41217,CD200,OX-2 membrane glycoprotein,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Neurology"
O94907,DKK1,Dickkopf-related protein 1,"Explore HT assay library, Olink Explore Neurology, Flex assay library, Olink Target 96 Cardiovascular II"
P19883,FST,Follistatin,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II"
O94992,HEXIM1,Protein HEXIM1,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response"
Q8TD46,CD200R1,Cell surface glycoprotein CD200 receptor 1,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Neurology"
Q8WTT0,CLEC4C,C-type lectin domain family 4 member C,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response"
O43915,VEGFD,Vascular endothelial growth factor D,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II, Olink Target 96 Cell Regulation"
O14836,TNFRSF13B,Tumor necrosis factor receptor superfamily member 13B,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II"
O15123,ANGPT2,Angiopoietin-2,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Metabolism"
P26022,PTX3,Pentraxin-related protein PTX3,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II"
O15455,TLR3,Toll-like receptor 3,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Oncology II"
Q9Y6Q6,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II"
P40259,CD79B,B-cell antigen receptor complex-associated protein beta chain,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Metabolism"
O00585,CCL21,C-C motif chemokine 21,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Development"
Q8N608,DPP10,Inactive dipeptidyl peptidase 10,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response"
O00273,DFFA,DNA fragmentation factor subunit alpha,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response"
P15514,AREG,Amphiregulin,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Immune Response, Olink Target 96 Oncology II"
O60449,LY75,Lymphocyte antigen 75,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response"
P78410,BTN3A2,Butyrophilin subfamily 3 member A2,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response"
Q92583,CCL17,C-C motif chemokine 17,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology"
O95971,CD160,CD160 antigen,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Oncology II"
Q08708,CD300C,CMRF35-like molecule 6,"Explore HT assay library, Olink Explore Neurology, Flex assay library, Olink Target 96 Neurology"
O43927,CXCL13,C-X-C motif chemokine 13,"Explore HT assay library, Olink Explore Neurology, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Oncology II"
P18564,ITGB6,Integrin beta-6,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response"
P22223,CDH3,Cadherin-3,"Explore HT assay library, Olink Explore Neurology, Flex assay library, Olink Target 96 Neurology"
P24394,IL4R,Interleukin-4 receptor subunit alpha,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II"
Q99075,HBEGF,Proheparin-binding EGF-like growth factor,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Cardiovascular II"
O75144,ICOSLG,ICOS ligand,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Immuno-Oncology, Olink Target 96 Oncology II"
P58294,PROK1,Prokineticin-1,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cell Regulation"
Q01151,CD83,CD83 antigen,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response, Olink Target 96 Immuno-Oncology"
Q02880,TOP2B,DNA topoisomerase 2-beta,"Explore HT assay library, Olink Explore Inflammation II, Flex assay library, Olink Target 96 Organ Damage"
Q03431,PTH1R,Parathyroid hormone/parathyroid hormone-related peptide receptor,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response"
P49763,PGF,Placenta growth factor,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology, Olink Target 96 Organ Damage"
Q96LA5,FCRL2,Fc receptor-like protein 2,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Neurology"
Q96NY8,NECTIN4,Nectin-4,"Explore HT assay library, Olink Explore Oncology, Flex assay library, Olink Target 96 Oncology II"
Q96RJ3,TNFRSF13C,Tumor necrosis factor receptor superfamily member 13C,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Neuro Exploratory"
Q9BXN2,CLEC7A,C-type lectin domain family 7 member A,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response"
Q9NWZ3,IRAK4,Interleukin-1 receptor-associated kinase 4,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response"
Q9UMR7,CLEC4A,C-type lectin domain family 4 member A,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response"
Q9UNE0,EDAR,Tumor necrosis factor receptor superfamily member EDAR,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Immune Response"
Q6UXB2,CXCL17,C-X-C motif chemokine 17,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Oncology II"
Q9Y5A7,NUB1,NEDD8 ultimate buster 1,"Explore HT assay library, Olink Explore Inflammation, Flex assay library, Olink Target 96 Organ Damage"
Q14213_Q8NEV9,EBI3_IL27,Interleukin-27,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cardiovascular II, Olink Target 48 Cytokine"
Q9Y5W5,WIF1,Wnt inhibitory factor 1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
O95407,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Oncology II"
Q9H3U7,SMOC2,SPARC-related modular calcium-binding protein 2,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Neurology"
P18827,SDC1,Syndecan-1,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Oncology II"
P00797,REN,Renin,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II"
O00220,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiovascular II, Olink Target 96 Cell Regulation"
P01298,PPY,Pancreatic polypeptide prohormone,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
